                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.262,                 1.7921,                 1.2347,                 1.2425,                0.73416,                0.65784,                0.68002,                0.48199,                0.69926,                0.61634,                0.62263,                0.36369,                 1.0826,                 1.4513,                0.86355,                 1.1408,              0.0033322,              0.0033322,              0.0033322
                      1,                 1.0872,                 1.4664,                0.87944,                 1.1366,                0.75827,                0.64779,                0.69707,                0.50004,                0.72154,                0.62874,                0.65119,                0.38226,                 1.0604,                 1.4292,                0.83422,                 1.1352,              0.0066436,              0.0066436,              0.0066436
                      2,                 1.0982,                  1.463,                0.88315,                 1.1488,                  0.724,                0.65857,                0.68103,                0.48658,                0.68265,                0.59513,                0.61732,                0.36994,                 1.0675,                 1.4431,                0.84557,                 1.1609,              0.0099329,              0.0099329,              0.0099329
                      2,                  1.097,                 1.4675,                 0.8893,                  1.147,                0.73708,                0.66869,                0.68858,                0.50416,                0.70941,                0.64662,                 0.6513,                0.39249,                 1.0659,                 1.4284,                0.84328,                 1.1443,              0.0099329,              0.0099329,              0.0099329
                      3,                 1.0839,                 1.4563,                0.86894,                 1.1488,                0.73431,                0.67107,                0.69335,                0.49151,                0.68319,                0.64875,                0.63858,                0.38217,                 1.0529,                   1.41,                0.81093,                   1.15,               0.009901,               0.009901,               0.009901
                      4,                 1.0621,                 1.4382,                0.83553,                   1.14,                0.74159,                0.68377,                0.71431,                0.52367,                0.71053,                0.63694,                0.65752,                0.39523,                 1.0355,                 1.3982,                0.78946,                 1.1478,               0.009901,               0.009901,               0.009901
                      5,                 1.0419,                 1.4228,                0.81338,                  1.132,                0.75526,                0.68594,                0.72136,                0.53489,                 0.7276,                0.65948,                 0.6764,                0.40918,                 1.0295,                 1.3929,                0.76784,                 1.1333,               0.009868,               0.009868,               0.009868
                      6,                 1.0245,                 1.4002,                0.79051,                 1.1225,                0.75882,                 0.6945,                0.72016,                0.51722,                0.73362,                0.66661,                0.67578,                0.39891,                 1.0261,                 1.3824,                0.76047,                 1.1396,               0.009835,               0.009835,               0.009835
                      7,                 1.0174,                 1.3913,                 0.7746,                 1.1178,                0.74039,                0.71933,                0.73178,                0.54186,                0.70118,                   0.68,                0.68027,                0.40845,                 1.0184,                 1.3777,                0.75587,                 1.1303,               0.009802,               0.009802,               0.009802
                      8,                 1.0156,                 1.3968,                0.77937,                  1.118,                0.74153,                0.71103,                0.74445,                0.55399,                0.71709,                0.67588,                0.70333,                  0.428,                 1.0103,                 1.3672,                0.73527,                 1.1298,               0.009769,               0.009769,               0.009769
                      9,                 1.0086,                  1.392,                0.76797,                 1.1154,                0.77838,                0.71342,                0.75774,                0.56605,                0.75068,                0.66923,                0.70655,                0.43456,                 1.0088,                 1.3604,                  0.724,                 1.1227,               0.009736,               0.009736,               0.009736
                     10,                 0.9999,                 1.3836,                0.75901,                  1.113,                0.78862,                0.71157,                0.75146,                0.56812,                0.75816,                0.68401,                0.71109,                0.43712,                 1.0043,                 1.3603,                0.72346,                 1.1204,               0.009703,               0.009703,               0.009703
                     11,                 0.9938,                 1.3789,                0.75029,                 1.1079,                0.78093,                 0.7394,                0.76488,                0.57506,                0.74704,                0.69488,                0.71466,                0.43325,                  1.002,                 1.3534,                 0.7165,                 1.1212,                0.00967,                0.00967,                0.00967
                     12,                0.99406,                 1.3712,                0.74798,                 1.1082,                0.76876,                0.73389,                0.76516,                0.57854,                0.73069,                 0.6996,                0.71611,                0.44111,                0.99454,                 1.3438,                0.71748,                 1.1145,               0.009637,               0.009637,               0.009637
                     13,                 0.9928,                 1.3689,                0.74453,                 1.1062,                0.78553,                0.72933,                0.76198,                0.57986,                0.75938,                0.69246,                 0.7183,                0.44451,                0.99476,                 1.3481,                0.71141,                  1.114,               0.009604,               0.009604,               0.009604
                     14,                0.98352,                 1.3672,                0.73579,                 1.1019,                0.78828,                0.73861,                0.77132,                0.58251,                0.74554,                0.69944,                0.71622,                0.44052,                 0.9956,                 1.3438,                0.70494,                 1.1155,               0.009571,               0.009571,               0.009571
                     15,                0.98225,                 1.3589,                0.73388,                 1.1004,                0.76806,                 0.7413,                0.76613,                0.58126,                0.74703,                0.70881,                  0.728,                0.45014,                 0.9924,                  1.337,                0.69894,                 1.1126,               0.009538,               0.009538,               0.009538
                     16,                 0.9749,                 1.3546,                0.72506,                 1.0964,                0.75399,                0.73096,                0.76116,                 0.5775,                0.72343,                0.70139,                0.72032,                0.44588,                0.99262,                 1.3343,                 0.6974,                 1.1181,               0.009505,               0.009505,               0.009505
                     17,                0.98016,                 1.3577,                0.72946,                    1.1,                0.79143,                0.75499,                0.78224,                0.59176,                0.74674,                0.71961,                 0.7273,                0.44698,                0.98502,                   1.33,                0.69323,                 1.1088,               0.009472,               0.009472,               0.009472
                     18,                0.97907,                 1.3538,                0.72176,                 1.0973,                0.78649,                0.73183,                0.76796,                0.58596,                0.76419,                0.70732,                0.73049,                0.45345,                0.98177,                   1.33,                 0.6897,                 1.1062,               0.009439,               0.009439,               0.009439
                     19,                0.97354,                 1.3508,                0.71794,                 1.0942,                0.80576,                0.73899,                0.77901,                0.59335,                0.77323,                0.70906,                 0.7351,                0.45208,                0.98121,                  1.334,                0.68772,                 1.1083,               0.009406,               0.009406,               0.009406
                     20,                0.97224,                 1.3456,                0.71382,                 1.0965,                0.79505,                0.74452,                0.78306,                0.59983,                0.76226,                0.71247,                0.73863,                0.45948,                0.97885,                 1.3253,                0.68028,                 1.1088,               0.009373,               0.009373,               0.009373
                     21,                0.97208,                 1.3448,                0.71111,                 1.0903,                0.79749,                0.74892,                 0.7854,                0.60054,                0.76748,                0.71677,                0.74313,                 0.4614,                 0.9792,                 1.3224,                0.67268,                 1.1011,                0.00934,                0.00934,                0.00934
                     22,                0.97138,                 1.3426,                0.71034,                 1.0904,                0.79815,                0.74393,                0.78557,                  0.601,                0.76239,                0.71036,                0.73838,                0.45927,                0.97566,                 1.3219,                0.67711,                 1.1032,               0.009307,               0.009307,               0.009307
                     23,                0.96822,                 1.3437,                0.70984,                 1.0912,                0.77489,                0.75087,                0.77449,                0.59613,                0.74767,                0.72197,                  0.737,                0.46121,                0.97394,                  1.323,                0.67643,                 1.1056,               0.009274,               0.009274,               0.009274
                     24,                0.96371,                 1.3422,                0.70479,                 1.0875,                0.78206,                0.74829,                0.78414,                0.60044,                0.75627,                0.71601,                0.74251,                0.46355,                0.97652,                 1.3195,                0.67079,                 1.1028,               0.009241,               0.009241,               0.009241
                     25,                0.96594,                 1.3388,                0.70085,                 1.0863,                0.78508,                0.75237,                0.78143,                0.60261,                0.75636,                0.72695,                0.74145,                0.46292,                0.97296,                 1.3174,                0.67082,                 1.1021,               0.009208,               0.009208,               0.009208
                     26,                0.96246,                 1.3402,                0.70187,                 1.0835,                0.79588,                0.74624,                 0.7899,                0.60703,                0.76194,                0.71724,                0.74634,                0.46664,                0.97202,                 1.3192,                0.66979,                 1.1009,               0.009175,               0.009175,               0.009175
                     27,                0.96312,                 1.3368,                0.69865,                 1.0841,                0.79174,                0.74366,                0.78935,                0.60538,                0.76376,                0.70855,                0.74494,                0.46742,                0.97425,                 1.3165,                0.66753,                 1.1047,               0.009142,               0.009142,               0.009142
                     28,                0.95695,                 1.3294,                0.69441,                 1.0863,                0.77735,                0.75969,                0.79451,                0.61038,                0.75797,                0.72183,                0.74481,                0.46771,                0.97056,                 1.3153,                0.66598,                 1.1003,               0.009109,               0.009109,               0.009109
                     29,                 0.9606,                 1.3328,                0.69421,                 1.0875,                0.77906,                0.75791,                0.78982,                0.60811,                0.75446,                0.72795,                0.74647,                0.46624,                 0.9698,                 1.3133,                0.66481,                 1.1017,               0.009076,               0.009076,               0.009076
                     30,                0.96061,                 1.3309,                0.69693,                 1.0859,                0.77911,                0.76742,                0.79965,                0.61515,                0.74436,                0.73787,                0.75171,                0.47058,                0.96824,                 1.3145,                 0.6634,                 1.0994,               0.009043,               0.009043,               0.009043
                     31,                0.95741,                 1.3267,                 0.6914,                 1.0823,                0.79203,                0.75304,                0.79535,                0.61025,                0.75697,                0.72376,                0.74891,                0.46664,                0.96792,                 1.3131,                0.66267,                 1.0976,                0.00901,                0.00901,                0.00901
                     32,                0.95951,                 1.3284,                0.68896,                 1.0843,                0.80099,                 0.7463,                0.79463,                0.61211,                0.76911,                0.71682,                0.75042,                0.46779,                 0.9687,                 1.3128,                0.66142,                 1.1007,               0.008977,               0.008977,               0.008977
                     33,                0.95639,                 1.3292,                0.69153,                 1.0857,                0.78989,                0.75864,                0.79691,                0.61467,                0.75583,                0.72926,                0.75372,                0.47231,                0.96862,                 1.3115,                0.65891,                 1.1009,               0.008944,               0.008944,               0.008944
                     34,                0.95593,                 1.3291,                0.68538,                 1.0818,                0.78355,                0.75586,                  0.796,                0.61338,                0.75073,                0.72403,                0.74796,                0.47074,                0.96739,                 1.3108,                0.65739,                 1.0995,               0.008911,               0.008911,               0.008911
                     35,                0.95168,                 1.3257,                0.68169,                 1.0824,                 0.7791,                 0.7592,                0.79936,                0.61877,                0.74628,                 0.7298,                0.74975,                0.47376,                0.96556,                 1.3091,                 0.6579,                 1.0999,               0.008878,               0.008878,               0.008878
                     36,                 0.9529,                 1.3244,                0.68325,                 1.0822,                0.78221,                0.76636,                0.79739,                0.61669,                0.75196,                0.73864,                0.75348,                0.47278,                0.96701,                 1.3079,                0.65732,                 1.0997,               0.008845,               0.008845,               0.008845
                     37,                0.94919,                 1.3194,                0.68317,                 1.0798,                0.78045,                0.76486,                0.79986,                0.61936,                0.75176,                0.73255,                0.75298,                0.47393,                0.96637,                  1.308,                0.65539,                  1.099,               0.008812,               0.008812,               0.008812
                     38,                0.95004,                 1.3209,                0.68202,                 1.0808,                0.77687,                0.77047,                0.79849,                0.61819,                0.74664,                0.74108,                0.75173,                0.47295,                0.96579,                 1.3076,                0.65526,                 1.0993,               0.008779,               0.008779,               0.008779
                     39,                 0.9437,                 1.3144,                0.67177,                 1.0758,                0.78248,                0.76963,                 0.8015,                0.62009,                 0.7512,                0.73888,                0.75411,                0.47432,                0.96627,                 1.3091,                0.65329,                 1.0998,               0.008746,               0.008746,               0.008746
                     40,                0.94823,                 1.3138,                0.67596,                 1.0769,                0.78091,                0.76346,                0.80315,                0.62121,                0.75009,                0.73466,                 0.7562,                0.47393,                 0.9665,                 1.3075,                 0.6533,                 1.0999,               0.008713,               0.008713,               0.008713
                     41,                0.94934,                 1.3158,                0.67579,                  1.078,                0.78026,                0.76683,                0.80235,                0.62009,                0.75175,                0.73367,                0.75478,                0.47314,                 0.9661,                 1.3061,                 0.6528,                 1.0998,                0.00868,                0.00868,                0.00868
                     42,                0.94361,                 1.3151,                0.67107,                 1.0803,                0.78698,                0.75752,                0.80017,                0.61877,                0.75287,                0.72542,                0.75139,                0.47177,                0.96629,                 1.3055,                0.65291,                 1.1003,               0.008647,               0.008647,               0.008647
                     43,                 0.9467,                 1.3183,                  0.674,                 1.0768,                0.77857,                0.75333,                0.80076,                0.61833,                0.74794,                0.72245,                0.75009,                 0.4719,                0.96541,                 1.3043,                0.65359,                 1.0998,               0.008614,               0.008614,               0.008614
                     44,                0.94276,                 1.3097,                0.67042,                 1.0748,                0.78403,                0.75709,                0.80198,                0.61802,                0.75035,                0.72671,                0.75192,                0.47272,                0.96485,                 1.3035,                0.65338,                 1.0993,               0.008581,               0.008581,               0.008581
                     45,                0.94314,                 1.3098,                 0.6669,                 1.0729,                0.77928,                0.76009,                0.80119,                0.61814,                0.74564,                0.72583,                0.74793,                0.47379,                0.96444,                 1.3036,                0.65291,                 1.0988,               0.008548,               0.008548,               0.008548
                     46,                0.94579,                 1.3098,                0.66868,                 1.0758,                0.76893,                0.76997,                0.79983,                0.61809,                0.73786,                0.73471,                0.74936,                 0.4728,                0.96492,                 1.3031,                 0.6526,                 1.0992,               0.008515,               0.008515,               0.008515
                     47,                   0.94,                 1.3117,                0.66672,                 1.0724,                0.77045,                0.76691,                0.79975,                0.61846,                0.74098,                0.72529,                0.74663,                0.47307,                0.96469,                 1.3023,                0.65224,                  1.099,               0.008482,               0.008482,               0.008482
                     48,                0.94192,                 1.3064,                0.66095,                 1.0734,                0.76825,                0.76799,                0.79958,                0.61863,                0.73665,                0.73187,                0.74995,                0.47319,                0.96481,                 1.3025,                 0.6515,                 1.0991,               0.008449,               0.008449,               0.008449
                     49,                0.93954,                 1.3039,                  0.662,                 1.0729,                0.77044,                0.76912,                0.80001,                 0.6187,                0.72739,                0.74427,                 0.7475,                0.47345,                0.96463,                 1.3029,                0.65125,                 1.0992,               0.008416,               0.008416,               0.008416
                     50,                0.94131,                 1.3064,                0.66125,                 1.0736,                0.77427,                 0.7713,                0.80025,                0.61979,                0.73652,                 0.7402,                0.74852,                0.47363,                0.96493,                 1.3026,                0.65083,                 1.0994,               0.008383,               0.008383,               0.008383
                     51,                0.94197,                 1.3055,                0.66364,                 1.0724,                0.77525,                0.77084,                0.80002,                0.61913,                0.74037,                0.73503,                0.74811,                0.47312,                0.96458,                 1.3034,                0.65077,                 1.0988,                0.00835,                0.00835,                0.00835
                     52,                0.94008,                 1.3053,                0.65526,                 1.0725,                0.76558,                 0.7765,                0.80011,                0.61901,                0.73255,                0.73926,                0.74828,                0.47296,                0.96421,                  1.303,                0.65018,                 1.0985,               0.008317,               0.008317,               0.008317
                     53,                0.94101,                 1.3052,                 0.6577,                 1.0742,                0.76922,                0.77609,                0.80088,                0.61936,                0.73554,                0.74013,                0.74995,                 0.4745,                0.96437,                 1.3027,                 0.6496,                 1.0986,               0.008284,               0.008284,               0.008284
                     54,                0.93558,                 1.3064,                0.65633,                 1.0718,                0.76889,                0.78107,                0.80023,                0.61906,                0.73491,                0.74611,                0.74975,                0.47424,                0.96422,                 1.3027,                0.64958,                 1.0987,               0.008251,               0.008251,               0.008251
                     55,                0.93714,                  1.299,                0.65523,                 1.0723,                0.76762,                0.78201,                0.79995,                0.61884,                0.73569,                0.74513,                0.74916,                0.47417,                0.96468,                 1.3023,                0.64937,                  1.099,               0.008218,               0.008218,               0.008218
                     56,                0.93819,                 1.3021,                0.65305,                 1.0721,                0.76721,                0.78031,                0.79998,                0.61974,                 0.7386,                0.74611,                 0.7514,                0.47453,                0.96484,                 1.3021,                0.64907,                 1.0991,               0.008185,               0.008185,               0.008185
                     57,                0.93705,                 1.3002,                0.64862,                 1.0701,                0.76884,                0.78223,                0.79982,                0.61834,                0.73791,                0.74558,                0.74955,                0.47367,                 0.9648,                 1.3018,                0.64912,                 1.0991,               0.008152,               0.008152,               0.008152
                     58,                0.93793,                 1.3035,                0.65247,                   1.07,                0.77117,                0.77924,                0.79994,                0.61942,                0.74002,                0.74306,                0.74942,                0.47305,                  0.965,                 1.3019,                0.64896,                 1.0992,               0.008119,               0.008119,               0.008119
                     59,                0.93564,                 1.3008,                0.65117,                 1.0691,                 0.7712,                0.77905,                    0.8,                0.61898,                0.74252,                0.74331,                0.75058,                0.47289,                0.96498,                 1.3018,                0.64867,                  1.099,               0.008086,               0.008086,               0.008086
                     60,                 0.9359,                 1.2986,                0.64957,                 1.0725,                0.76891,                0.78076,                0.79984,                0.61878,                0.74156,                0.74385,                0.75045,                0.47351,                0.96513,                 1.3018,                0.64855,                 1.0992,               0.008053,               0.008053,               0.008053
                     61,                0.93349,                 1.2966,                0.64905,                 1.0689,                0.77084,                 0.7768,                0.79993,                0.61927,                0.74047,                0.73831,                0.74719,                0.47302,                0.96506,                 1.3017,                0.64825,                 1.0992,                0.00802,                0.00802,                0.00802
                     62,                0.93006,                 1.2961,                0.64386,                 1.0658,                0.77346,                0.77478,                0.79966,                0.61938,                0.74072,                0.73939,                0.74665,                0.47238,                0.96508,                 1.3017,                 0.6481,                 1.0993,               0.007987,               0.007987,               0.007987
                     63,                0.93181,                 1.2896,                0.64542,                 1.0676,                0.77288,                0.77468,                 0.7987,                 0.6191,                0.74142,                0.74107,                0.74717,                0.47203,                0.96511,                 1.3017,                0.64787,                 1.0992,               0.007954,               0.007954,               0.007954
                     64,                0.93383,                 1.2971,                0.64498,                 1.0682,                 0.7747,                0.77352,                  0.799,                0.61904,                 0.7441,                0.74293,                 0.7494,                0.47162,                0.96519,                 1.3012,                0.64769,                 1.0993,               0.007921,               0.007921,               0.007921
                     65,                 0.9332,                 1.2956,                0.64674,                 1.0677,                0.77356,                0.77469,                0.79934,                0.62008,                0.74296,                0.74342,                 0.7491,                0.47215,                0.96529,                 1.3014,                0.64741,                 1.0994,               0.007888,               0.007888,               0.007888
                     66,                0.93543,                 1.2954,                0.64616,                 1.0702,                0.77015,                0.77651,                0.79864,                0.61992,                0.74039,                0.74154,                0.74657,                0.47209,                0.96525,                 1.3012,                0.64709,                 1.0994,               0.007855,               0.007855,               0.007855
                     67,                0.93468,                 1.2921,                0.64535,                 1.0684,                0.77322,                0.77592,                0.79887,                0.61967,                0.74541,                0.73952,                0.74784,                0.47242,                0.96517,                 1.3012,                0.64704,                 1.0993,               0.007822,               0.007822,               0.007822
                     68,                0.92892,                 1.2922,                0.64037,                 1.0683,                0.77542,                0.77215,                 0.7988,                0.61923,                0.74609,                0.73866,                0.74785,                0.47191,                0.96525,                 1.3014,                0.64674,                 1.0996,               0.007789,               0.007789,               0.007789
                     69,                0.92766,                 1.2935,                 0.6371,                 1.0676,                0.77468,                0.77312,                0.79854,                0.61902,                0.74984,                0.73961,                0.74821,                0.47221,                0.96512,                 1.3014,                0.64665,                 1.0995,               0.007756,               0.007756,               0.007756
                     70,                0.93439,                  1.292,                0.63811,                 1.0648,                0.77468,                0.77281,                0.79879,                0.61947,                0.74759,                0.74115,                0.74897,                0.47249,                0.96526,                 1.3014,                0.64646,                 1.0997,               0.007723,               0.007723,               0.007723
                     71,                0.92847,                 1.2899,                0.63676,                 1.0671,                0.77489,                0.77218,                0.79858,                0.61941,                0.74756,                0.74113,                0.74875,                0.47278,                0.96553,                 1.3012,                0.64614,                 1.0999,                0.00769,                0.00769,                0.00769
                     72,                0.92656,                 1.2873,                0.63407,                 1.0674,                0.77561,                0.77147,                0.79869,                0.61992,                0.74825,                0.74072,                0.74879,                0.47333,                 0.9656,                 1.3014,                0.64603,                    1.1,               0.007657,               0.007657,               0.007657
                     73,                0.92813,                 1.2842,                0.63667,                  1.066,                0.77746,                0.77329,                 0.7991,                0.61999,                0.75052,                0.74116,                0.74905,                0.47357,                 0.9656,                 1.3014,                0.64586,                    1.1,               0.007624,               0.007624,               0.007624
                     74,                0.92623,                 1.2826,                 0.6326,                 1.0654,                0.77941,                0.77096,                0.79895,                0.61964,                 0.7507,                   0.74,                 0.7491,                 0.4735,                0.96566,                 1.3013,                0.64574,                 1.1001,               0.007591,               0.007591,               0.007591
                     75,                0.92862,                 1.2905,                0.63255,                 1.0662,                0.77871,                0.77232,                0.79909,                0.61979,                0.75353,                0.73958,                0.74907,                0.47313,                0.96569,                 1.3014,                0.64564,                 1.1003,               0.007558,               0.007558,               0.007558
                     76,                0.92584,                 1.2901,                0.63243,                 1.0671,                0.78026,                 0.7702,                 0.7993,                 0.6198,                 0.7543,                0.73827,                0.74959,                0.47307,                0.96568,                 1.3012,                0.64532,                 1.1003,               0.007525,               0.007525,               0.007525
                     77,                0.92655,                 1.2891,                0.63009,                 1.0637,                0.78048,                0.77119,                0.79909,                0.62016,                0.75512,                0.73741,                0.74947,                0.47269,                0.96579,                 1.3013,                0.64526,                 1.1004,               0.007492,               0.007492,               0.007492
                     78,                0.92333,                 1.2861,                0.63077,                 1.0634,                 0.7822,                0.76907,                0.79918,                0.62008,                0.75771,                0.73559,                 0.7495,                0.47278,                0.96593,                 1.3013,                0.64527,                 1.1006,               0.007459,               0.007459,               0.007459
                     79,                0.92492,                 1.2845,                0.63102,                 1.0651,                0.78249,                0.77187,                0.79923,                0.62043,                0.75712,                 0.7361,                 0.7496,                0.47253,                0.96608,                 1.3013,                0.64511,                 1.1006,               0.007426,               0.007426,               0.007426
                     80,                0.92447,                 1.2876,                0.62438,                 1.0618,                0.77742,                0.77531,                0.79908,                0.61972,                0.75745,                0.73531,                0.74957,                0.47256,                0.96625,                 1.3013,                 0.6448,                 1.1007,               0.007393,               0.007393,               0.007393
                     81,                0.92523,                 1.2847,                0.62745,                 1.0651,                0.77777,                0.77602,                0.79899,                0.62062,                0.75537,                0.73539,                0.74788,                0.47184,                0.96643,                 1.3015,                0.64484,                 1.1009,                0.00736,                0.00736,                0.00736
                     82,                0.92496,                 1.2853,                0.62532,                 1.0615,                0.77996,                0.77229,                0.79878,                0.62055,                0.75414,                0.73713,                0.74876,                0.47166,                0.96646,                 1.3016,                0.64517,                  1.101,               0.007327,               0.007327,               0.007327
                     83,                0.91886,                 1.2826,                0.62245,                 1.0601,                 0.7802,                0.77385,                0.79912,                0.62037,                0.75281,                0.73708,                0.74804,                  0.472,                0.96658,                 1.3018,                0.64518,                 1.1011,               0.007294,               0.007294,               0.007294
                     84,                0.91872,                 1.2782,                0.62053,                 1.0592,                0.78051,                0.77418,                0.79895,                0.62012,                0.75063,                0.73875,                0.74797,                0.47154,                0.96672,                 1.3018,                 0.6452,                 1.1011,               0.007261,               0.007261,               0.007261
                     85,                0.92165,                 1.2763,                0.62154,                 1.0605,                0.77883,                 0.7744,                0.79872,                0.62022,                0.74841,                0.73971,                 0.7476,                0.47203,                0.96681,                 1.3015,                0.64529,                 1.1012,               0.007228,               0.007228,               0.007228
                     86,                0.92092,                 1.2752,                0.61938,                 1.0634,                0.77448,                0.77733,                0.79834,                0.62059,                0.74755,                0.73741,                0.74511,                0.47149,                0.96697,                 1.3015,                0.64528,                 1.1013,               0.007195,               0.007195,               0.007195
                     87,                0.91982,                 1.2729,                0.62086,                 1.0632,                0.77471,                0.77756,                0.79836,                0.62119,                 0.7473,                0.73671,                0.74511,                 0.4717,                0.96712,                 1.3012,                0.64514,                 1.1015,               0.007162,               0.007162,               0.007162
                     88,                0.92256,                 1.2769,                0.62112,                 1.0604,                0.77321,                0.77688,                0.79816,                0.62094,                0.74894,                0.73597,                0.74465,                0.47167,                 0.9672,                 1.3012,                0.64515,                 1.1016,               0.007129,               0.007129,               0.007129
                     89,                0.91626,                 1.2728,                0.61614,                 1.0579,                0.77439,                 0.7777,                0.79878,                0.62072,                0.75273,                0.73657,                0.74847,                 0.4722,                0.96746,                 1.3013,                0.64511,                  1.102,               0.007096,               0.007096,               0.007096
                     90,                0.91945,                 1.2721,                0.61694,                 1.0551,                0.77495,                0.77429,                0.79834,                0.62088,                0.75194,                0.73499,                0.74695,                0.47301,                0.96763,                 1.3012,                0.64499,                 1.1021,               0.007063,               0.007063,               0.007063
